Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Queens,Jackson Heights,Jackson Heights Greenmarket,79th St and Northern Blvd,GrowNYC,Year Round,Sundays (Start Time: 8:30 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,403,25,4028500,,,40.753687,-73.886999,115,415,POINT (-73.886999 40.753687),,,34,6,QW03,QW032,QW,13
Brooklyn,The Evergreens Cemetery,Aberdeen Community Garden,"91 Aberdeen St, Brooklyn, 11207",BK Rot,Year Round,"Sundays (Start Time: 1:00 PM - End Time:  4PM (Dec-Feb), 5PM (Mar.-Nov.))","Not accepted: meat, bones, or dairy",www.bkrot.org,304,37,3040700,,,40.6840598,-73.9050492,83,386,POINT (-73.9050492 40.6840598),,,54,7,BKN04,BKN043,BKN,18
Brooklyn,Park Slope,Old Stone House Brooklyn,"336 3rd St, Brooklyn, NY 11215",Old Stone House Brooklyn,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,,306,39,3013500,,,40.6727118,-73.984731,78,107,POINT (-73.984731 40.6727118),,,52,10,BKS06,BKS064,BKS,26
Brooklyn,Crown Heights (North),Crown Heights Franklin Ave Food Scrap Drop-off,Franklin Avenue & Eastern Parkway,GrowNYC,Year Round,Thursdays (Start Time: 8:30 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,308,35,3021900,,,40.670745,-73.957743,77,77,POINT (-73.957743 40.670745),,,57,9,BKN08,BKN081,BKN,20
Manhattan,Harlem (North),Abyssinian Tot Lot,"130 W 139th St, New York, NY 10030",GrowNYC and the Malcolm X Boulevard Beautification Group,Year Round,Saturday (Start Time: 8:00 AM - End Time:  12:30 PM),,grownyc.org/compost,110,9,1023000,,,40.8172313,-73.9408451,32,35,POINT (-73.9408451 40.8172313),,,70,13,MN10,MN104,MN,30
Manhattan,Hamilton Heights-Sugar Hill,145th St Food Scrap Drop-off,145th St & Edgecombe Ave,GrowNYC,Year Round,Thursdays (Start Time: 7:30 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,110,9,1023100,,,40.823692,-73.943764,30,26,POINT (-73.943764 40.823692),,,71,13,MN10,MN104,MN,30
Queens,Sunnyside,45th Street Composters,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",Volunteers at 45th Street Compost,Year Round,Sundays (Start Time: 10:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://linktr.ee/45thstreetcomposters,402,26,4018300,,,40.746199,-73.919118,108,410,POINT (-73.919118 40.746199),,,37,7,QW02,QW022,QW,12
Manhattan,East Village,Down to Earth Garden (formerly Children's Garden),"546 East 12th St, New York, NY 10009",Down to Earth Garden,Year Round,"Tuesdays and Sundays (Start Time: Tuesday: 1:30PM, Sunday 12:00pm - End Time:  Tuesday 4pm, Sunday 4pm)","Keep food scraps and plant material separated. This site accepts meat, fish, and dairy",https://downtoearthgarden.org/,103,2,1003400,,,40.7280614,-73.9792926,9,114,POINT (-73.9792926 40.7280614),,,74,10,MN03,MN034,MN,27
Bronx,Soundview-Bruckner-Bronx River,NW Bruckner Boulevard & Evergreen Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,17,2005200,,,40.82371538,-73.88005123,43,341,POINT (-73.88005123 40.82371538),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=11,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363703,85,14,BX09,BX091,BX,32
Brooklyn,Bushwick (East),NE Bushwick Avenue & Himrod Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,3039500,,,40.69391737,-73.92580301,83,378,POINT (-73.92580301 40.69391737),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=79,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363771,53,7,BKN04,BKN042,BKN,18
Brooklyn,Greenpoint,North Brooklyn Compost,"Russell Street &, Nassau Ave, Brooklyn, NY 11222",North Brooklyn Compost,Year Round,Sundays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/nbkcompost/?hl=en,301,33,3059100,,,40.724493,-73.94375,94,132,POINT (-73.94375 40.724493),,,50,7,BKN01,BKN013,BKN,59
Brooklyn,Bedford-Stuyvesant (East),SE Lewis Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3029500,,,40.68419729,-73.93525746,81,146,POINT (-73.93525746 40.68419729),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=28,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363720,56,8,BKN03,BKN034,BKN,25
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,Cortelyou Greenmarket,Argyle Rd and Cortelyou Rd,GrowNYC,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,314,40,3152200,,,40.641438,-73.966333,70,230,POINT (-73.966333 40.641438),,,44,9,BKS14,BKS142,BKS,21
Manhattan,Financial District-Battery Park City,SmartComposting: Wall & Pearl Streets,Wall and Pearl Streets (Southwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,1000700,,,40.70559,-74.00812,1,11,POINT (-74.00812 40.70559),,,65,10,MN01,MN011,MN,27
Bronx,Concourse-Concourse Village,NW Gerard Avenue & East 150th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,8,2006301,,,40.81994461,-73.92850801,44,245,POINT (-73.92850801 40.81994461),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=208,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363900,77,15,BX04,BX041,BX,29
Queens,South Ozone Park,Office of Assemblymember Anderson,131-15 Rockaway Boulevard,Assemblymember Anderson,Year Round,Tuesdays and Wednesdays (Start Time: 12:00 PM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://nyassembly.gov/mem/Khaleel-M-Anderson,410,28,4018000,,,40.6749729,-73.8066806,106,479,POINT (-73.8066806 40.6749729),,,31,5,QE10,QE103,QE,10
Brooklyn,Bushwick (East),NW Central Avenue & Moffat Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3041100,,,40.68758323,-73.90656117,83,391,POINT (-73.90656117 40.68758323),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=71,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363763,54,7,BKN04,BKN043,BKN,18
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,106,4,1009000,,,40.752606,-73.969036,17,127,POINT (-73.969036 40.752606),,,74,12,MN06,MN063,MN,28
Brooklyn,Crown Heights (North),NW New York Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,3031701,,,40.67428152,-73.94742765,77,71,POINT (-73.94742765 40.67428152),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=118,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363810,43,9,BKN08,BKN082,BKN,20
